brand_id	tier	demographic	series_index	series_topic	book_index	status	epub_path	locale
digital_ground	flagship	manhwa	3	financial_anxiety	4	planned		en_US
digital_ground	flagship	manhwa	3	financial_anxiety	5	planned		en_US
digital_ground	flagship	manhwa	4	anxiety	1	planned		en_US
digital_ground	flagship	manhwa	4	anxiety	2	planned		en_US
digital_ground	flagship	manhwa	4	anxiety	3	planned		en_US
digital_ground	flagship	manhwa	4	anxiety	4	planned		en_US
digital_ground	flagship	manhwa	4	anxiety	5	planned		en_US
digital_ground	flagship	manhwa	5	somatic_healing	1	planned		en_US
digital_ground	flagship	manhwa	5	somatic_healing	2	planned		en_US
digital_ground	flagship	manhwa	5	somatic_healing	3	planned		en_US
digital_ground	flagship	manhwa	5	somatic_healing	4	planned		en_US
digital_ground	flagship	manhwa	5	somatic_healing	5	planned		en_US
executive_calm_workplace	core	seinen	1	burnout	1	planned		en_US
executive_calm_workplace	core	seinen	1	burnout	2	planned		en_US
executive_calm_workplace	core	seinen	1	burnout	3	planned		en_US
executive_calm_workplace	core	seinen	1	burnout	4	planned		en_US
executive_calm_workplace	core	seinen	1	burnout	5	planned		en_US
executive_calm_workplace	core	seinen	2	overthinking	1	planned		en_US
executive_calm_workplace	core	seinen	2	overthinking	2	planned		en_US
executive_calm_workplace	core	seinen	2	overthinking	3	planned		en_US
executive_calm_workplace	core	seinen	2	overthinking	4	planned		en_US
executive_calm_workplace	core	seinen	2	overthinking	5	planned		en_US
executive_calm_workplace	core	seinen	3	financial_anxiety	1	planned		en_US
executive_calm_workplace	core	seinen	3	financial_anxiety	2	planned		en_US
executive_calm_workplace	core	seinen	3	financial_anxiety	3	planned		en_US
executive_calm_workplace	core	seinen	3	financial_anxiety	4	planned		en_US
executive_calm_workplace	core	seinen	3	financial_anxiety	5	planned		en_US
executive_calm_workplace	core	seinen	4	burnout	1	planned		en_US
executive_calm_workplace	core	seinen	4	burnout	2	planned		en_US
executive_calm_workplace	core	seinen	4	burnout	3	planned		en_US
executive_calm_workplace	core	seinen	4	burnout	4	planned		en_US
executive_calm_workplace	core	seinen	4	burnout	5	planned		en_US
executive_calm_workplace	core	seinen	5	burnout	1	planned		en_US
executive_calm_workplace	core	seinen	5	burnout	2	planned		en_US
executive_calm_workplace	core	seinen	5	burnout	3	planned		en_US
executive_calm_workplace	core	seinen	5	burnout	4	planned		en_US
