book_id	persona	topic	catalog_engine	engine_binding_status	arc_exists	atom_dir	verdict
devotion_path__sai_ma__tech_finance_burnout__burnout__overwhelm	tech_finance_burnout	burnout	overwhelm	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__tech_finance_burnout__burnout__spiral	tech_finance_burnout	burnout	spiral	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__tech_finance_burnout__courage__false_alarm	tech_finance_burnout	courage	false_alarm	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__tech_finance_burnout__courage__overwhelm	tech_finance_burnout	courage	overwhelm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__tech_finance_burnout__courage__spiral	tech_finance_burnout	courage	spiral	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__tech_finance_burnout__imposter_syndrome__false_alarm	tech_finance_burnout	imposter_syndrome	false_alarm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__tech_finance_burnout__imposter_syndrome__overwhelm	tech_finance_burnout	imposter_syndrome	overwhelm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__tech_finance_burnout__imposter_syndrome__spiral	tech_finance_burnout	imposter_syndrome	spiral	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__working_parents__burnout__false_alarm	working_parents	burnout	false_alarm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__working_parents__burnout__overwhelm	working_parents	burnout	overwhelm	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__working_parents__burnout__spiral	working_parents	burnout	spiral	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__working_parents__courage__false_alarm	working_parents	courage	false_alarm	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__working_parents__courage__overwhelm	working_parents	courage	overwhelm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__working_parents__courage__spiral	working_parents	courage	spiral	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__working_parents__imposter_syndrome__false_alarm	working_parents	imposter_syndrome	false_alarm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__working_parents__imposter_syndrome__overwhelm	working_parents	imposter_syndrome	overwhelm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__working_parents__imposter_syndrome__spiral	working_parents	imposter_syndrome	spiral	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
