brand_id	week_iso	deliverable_type	status	download_url	last_updated
legacy_builder_memoir	2026-W22	podcast	ready	artifacts/weekly_packages/legacy_builder_memoir/2026-W22/legacy_builder_memoir_2026-W22.zip	2026-05-25T20:48:32Z
longevity_lab_healing	2026-W22	books	ready	artifacts/weekly_packages/longevity_lab_healing/2026-W22/longevity_lab_healing_2026-W22.zip	2026-05-25T20:48:32Z
longevity_lab_healing	2026-W22	atoms	ready	artifacts/weekly_packages/longevity_lab_healing/2026-W22/longevity_lab_healing_2026-W22.zip	2026-05-25T20:48:32Z
longevity_lab_healing	2026-W22	manga_panels	ready	artifacts/weekly_packages/longevity_lab_healing/2026-W22/longevity_lab_healing_2026-W22.zip	2026-05-25T20:48:32Z
longevity_lab_healing	2026-W22	pearl_news	ready	artifacts/weekly_packages/longevity_lab_healing/2026-W22/longevity_lab_healing_2026-W22.zip	2026-05-25T20:48:32Z
longevity_lab_healing	2026-W22	podcast	ready	artifacts/weekly_packages/longevity_lab_healing/2026-W22/longevity_lab_healing_2026-W22.zip	2026-05-25T20:48:32Z
minimal_mind_healing	2026-W22	books	ready	artifacts/weekly_packages/minimal_mind_healing/2026-W22/minimal_mind_healing_2026-W22.zip	2026-05-25T20:48:32Z
minimal_mind_healing	2026-W22	atoms	ready	artifacts/weekly_packages/minimal_mind_healing/2026-W22/minimal_mind_healing_2026-W22.zip	2026-05-25T20:48:32Z
minimal_mind_healing	2026-W22	manga_panels	ready	artifacts/weekly_packages/minimal_mind_healing/2026-W22/minimal_mind_healing_2026-W22.zip	2026-05-25T20:48:32Z
minimal_mind_healing	2026-W22	pearl_news	ready	artifacts/weekly_packages/minimal_mind_healing/2026-W22/minimal_mind_healing_2026-W22.zip	2026-05-25T20:48:32Z
minimal_mind_healing	2026-W22	podcast	ready	artifacts/weekly_packages/minimal_mind_healing/2026-W22/minimal_mind_healing_2026-W22.zip	2026-05-25T20:48:32Z
morning_momentum_workplace	2026-W22	books	ready	artifacts/weekly_packages/morning_momentum_workplace/2026-W22/morning_momentum_workplace_2026-W22.zip	2026-05-25T20:48:32Z
morning_momentum_workplace	2026-W22	atoms	ready	artifacts/weekly_packages/morning_momentum_workplace/2026-W22/morning_momentum_workplace_2026-W22.zip	2026-05-25T20:48:32Z
morning_momentum_workplace	2026-W22	manga_panels	ready	artifacts/weekly_packages/morning_momentum_workplace/2026-W22/morning_momentum_workplace_2026-W22.zip	2026-05-25T20:48:32Z
morning_momentum_workplace	2026-W22	pearl_news	ready	artifacts/weekly_packages/morning_momentum_workplace/2026-W22/morning_momentum_workplace_2026-W22.zip	2026-05-25T20:48:32Z
morning_momentum_workplace	2026-W22	podcast	ready	artifacts/weekly_packages/morning_momentum_workplace/2026-W22/morning_momentum_workplace_2026-W22.zip	2026-05-25T20:48:32Z
night_reset_healing	2026-W22	books	ready	artifacts/weekly_packages/night_reset_healing/2026-W22/night_reset_healing_2026-W22.zip	2026-05-25T20:48:32Z
night_reset_healing	2026-W22	atoms	ready	artifacts/weekly_packages/night_reset_healing/2026-W22/night_reset_healing_2026-W22.zip	2026-05-25T20:48:32Z
night_reset_healing	2026-W22	manga_panels	ready	artifacts/weekly_packages/night_reset_healing/2026-W22/night_reset_healing_2026-W22.zip	2026-05-25T20:48:32Z
night_reset_healing	2026-W22	pearl_news	ready	artifacts/weekly_packages/night_reset_healing/2026-W22/night_reset_healing_2026-W22.zip	2026-05-25T20:48:32Z
night_reset_healing	2026-W22	podcast	ready	artifacts/weekly_packages/night_reset_healing/2026-W22/night_reset_healing_2026-W22.zip	2026-05-25T20:48:32Z
optimizer_workplace	2026-W22	books	ready	artifacts/weekly_packages/optimizer_workplace/2026-W22/optimizer_workplace_2026-W22.zip	2026-05-25T20:48:32Z
optimizer_workplace	2026-W22	atoms	ready	artifacts/weekly_packages/optimizer_workplace/2026-W22/optimizer_workplace_2026-W22.zip	2026-05-25T20:48:32Z
optimizer_workplace	2026-W22	manga_panels	ready	artifacts/weekly_packages/optimizer_workplace/2026-W22/optimizer_workplace_2026-W22.zip	2026-05-25T20:48:32Z
optimizer_workplace	2026-W22	pearl_news	ready	artifacts/weekly_packages/optimizer_workplace/2026-W22/optimizer_workplace_2026-W22.zip	2026-05-25T20:48:32Z
optimizer_workplace	2026-W22	podcast	ready	artifacts/weekly_packages/optimizer_workplace/2026-W22/optimizer_workplace_2026-W22.zip	2026-05-25T20:48:32Z
qi_foundation_cultivation	2026-W22	books	ready	artifacts/weekly_packages/qi_foundation_cultivation/2026-W22/qi_foundation_cultivation_2026-W22.zip	2026-05-25T20:48:32Z
qi_foundation_cultivation	2026-W22	atoms	ready	artifacts/weekly_packages/qi_foundation_cultivation/2026-W22/qi_foundation_cultivation_2026-W22.zip	2026-05-25T20:48:32Z
qi_foundation_cultivation	2026-W22	manga_panels	ready	artifacts/weekly_packages/qi_foundation_cultivation/2026-W22/qi_foundation_cultivation_2026-W22.zip	2026-05-25T20:48:32Z
qi_foundation_cultivation	2026-W22	pearl_news	ready	artifacts/weekly_packages/qi_foundation_cultivation/2026-W22/qi_foundation_cultivation_2026-W22.zip	2026-05-25T20:48:32Z
qi_foundation_cultivation	2026-W22	podcast	ready	artifacts/weekly_packages/qi_foundation_cultivation/2026-W22/qi_foundation_cultivation_2026-W22.zip	2026-05-25T20:48:32Z
relational_calm_iyashikei	2026-W22	books	ready	artifacts/weekly_packages/relational_calm_iyashikei/2026-W22/relational_calm_iyashikei_2026-W22.zip	2026-05-25T20:48:32Z
relational_calm_iyashikei	2026-W22	atoms	ready	artifacts/weekly_packages/relational_calm_iyashikei/2026-W22/relational_calm_iyashikei_2026-W22.zip	2026-05-25T20:48:32Z
relational_calm_iyashikei	2026-W22	manga_panels	ready	artifacts/weekly_packages/relational_calm_iyashikei/2026-W22/relational_calm_iyashikei_2026-W22.zip	2026-05-25T20:48:32Z
relational_calm_iyashikei	2026-W22	pearl_news	ready	artifacts/weekly_packages/relational_calm_iyashikei/2026-W22/relational_calm_iyashikei_2026-W22.zip	2026-05-25T20:48:32Z
relational_calm_iyashikei	2026-W22	podcast	ready	artifacts/weekly_packages/relational_calm_iyashikei/2026-W22/relational_calm_iyashikei_2026-W22.zip	2026-05-25T20:48:32Z
relationship_clarity_romance	2026-W22	books	ready	artifacts/weekly_packages/relationship_clarity_romance/2026-W22/relationship_clarity_romance_2026-W22.zip	2026-05-25T20:48:32Z
relationship_clarity_romance	2026-W22	atoms	ready	artifacts/weekly_packages/relationship_clarity_romance/2026-W22/relationship_clarity_romance_2026-W22.zip	2026-05-25T20:48:32Z
relationship_clarity_romance	2026-W22	manga_panels	ready	artifacts/weekly_packages/relationship_clarity_romance/2026-W22/relationship_clarity_romance_2026-W22.zip	2026-05-25T20:48:32Z
relationship_clarity_romance	2026-W22	pearl_news	ready	artifacts/weekly_packages/relationship_clarity_romance/2026-W22/relationship_clarity_romance_2026-W22.zip	2026-05-25T20:48:32Z
relationship_clarity_romance	2026-W22	podcast	ready	artifacts/weekly_packages/relationship_clarity_romance/2026-W22/relationship_clarity_romance_2026-W22.zip	2026-05-25T20:48:32Z
resilient_parent_social	2026-W22	books	ready	artifacts/weekly_packages/resilient_parent_social/2026-W22/resilient_parent_social_2026-W22.zip	2026-05-25T20:48:32Z
resilient_parent_social	2026-W22	atoms	ready	artifacts/weekly_packages/resilient_parent_social/2026-W22/resilient_parent_social_2026-W22.zip	2026-05-25T20:48:32Z
resilient_parent_social	2026-W22	manga_panels	ready	artifacts/weekly_packages/resilient_parent_social/2026-W22/resilient_parent_social_2026-W22.zip	2026-05-25T20:48:32Z
resilient_parent_social	2026-W22	pearl_news	ready	artifacts/weekly_packages/resilient_parent_social/2026-W22/resilient_parent_social_2026-W22.zip	2026-05-25T20:48:32Z
resilient_parent_social	2026-W22	podcast	ready	artifacts/weekly_packages/resilient_parent_social/2026-W22/resilient_parent_social_2026-W22.zip	2026-05-25T20:48:32Z
sleep_restoration_iyashikei	2026-W22	books	ready	artifacts/weekly_packages/sleep_restoration_iyashikei/2026-W22/sleep_restoration_iyashikei_2026-W22.zip	2026-05-25T20:48:32Z
sleep_restoration_iyashikei	2026-W22	atoms	ready	artifacts/weekly_packages/sleep_restoration_iyashikei/2026-W22/sleep_restoration_iyashikei_2026-W22.zip	2026-05-25T20:48:32Z
sleep_restoration_iyashikei	2026-W22	manga_panels	ready	artifacts/weekly_packages/sleep_restoration_iyashikei/2026-W22/sleep_restoration_iyashikei_2026-W22.zip	2026-05-25T20:48:32Z
sleep_restoration_iyashikei	2026-W22	pearl_news	ready	artifacts/weekly_packages/sleep_restoration_iyashikei/2026-W22/sleep_restoration_iyashikei_2026-W22.zip	2026-05-25T20:48:32Z
sleep_restoration_iyashikei	2026-W22	podcast	ready	artifacts/weekly_packages/sleep_restoration_iyashikei/2026-W22/sleep_restoration_iyashikei_2026-W22.zip	2026-05-25T20:48:32Z
solar_return_isekai	2026-W22	books	ready	artifacts/weekly_packages/solar_return_isekai/2026-W22/solar_return_isekai_2026-W22.zip	2026-05-25T20:48:32Z
solar_return_isekai	2026-W22	atoms	ready	artifacts/weekly_packages/solar_return_isekai/2026-W22/solar_return_isekai_2026-W22.zip	2026-05-25T20:48:32Z
solar_return_isekai	2026-W22	manga_panels	ready	artifacts/weekly_packages/solar_return_isekai/2026-W22/solar_return_isekai_2026-W22.zip	2026-05-25T20:48:32Z
solar_return_isekai	2026-W22	pearl_news	ready	artifacts/weekly_packages/solar_return_isekai/2026-W22/solar_return_isekai_2026-W22.zip	2026-05-25T20:48:32Z
solar_return_isekai	2026-W22	podcast	ready	artifacts/weekly_packages/solar_return_isekai/2026-W22/solar_return_isekai_2026-W22.zip	2026-05-25T20:48:32Z
somatic_wisdom_shojo	2026-W22	books	ready	artifacts/weekly_packages/somatic_wisdom_shojo/2026-W22/somatic_wisdom_shojo_2026-W22.zip	2026-05-25T20:48:32Z
somatic_wisdom_shojo	2026-W22	atoms	ready	artifacts/weekly_packages/somatic_wisdom_shojo/2026-W22/somatic_wisdom_shojo_2026-W22.zip	2026-05-25T20:48:32Z
somatic_wisdom_shojo	2026-W22	manga_panels	ready	artifacts/weekly_packages/somatic_wisdom_shojo/2026-W22/somatic_wisdom_shojo_2026-W22.zip	2026-05-25T20:48:32Z
somatic_wisdom_shojo	2026-W22	pearl_news	ready	artifacts/weekly_packages/somatic_wisdom_shojo/2026-W22/somatic_wisdom_shojo_2026-W22.zip	2026-05-25T20:48:32Z
somatic_wisdom_shojo	2026-W22	podcast	ready	artifacts/weekly_packages/somatic_wisdom_shojo/2026-W22/somatic_wisdom_shojo_2026-W22.zip	2026-05-25T20:48:32Z
spiritual_ground_supernatural	2026-W22	books	ready	artifacts/weekly_packages/spiritual_ground_supernatural/2026-W22/spiritual_ground_supernatural_2026-W22.zip	2026-05-25T20:48:32Z
spiritual_ground_supernatural	2026-W22	atoms	ready	artifacts/weekly_packages/spiritual_ground_supernatural/2026-W22/spiritual_ground_supernatural_2026-W22.zip	2026-05-25T20:48:32Z
spiritual_ground_supernatural	2026-W22	manga_panels	ready	artifacts/weekly_packages/spiritual_ground_supernatural/2026-W22/spiritual_ground_supernatural_2026-W22.zip	2026-05-25T20:48:32Z
spiritual_ground_supernatural	2026-W22	pearl_news	ready	artifacts/weekly_packages/spiritual_ground_supernatural/2026-W22/spiritual_ground_supernatural_2026-W22.zip	2026-05-25T20:48:32Z
spiritual_ground_supernatural	2026-W22	podcast	ready	artifacts/weekly_packages/spiritual_ground_supernatural/2026-W22/spiritual_ground_supernatural_2026-W22.zip	2026-05-25T20:48:32Z
stabilizer_healing	2026-W22	books	ready	artifacts/weekly_packages/stabilizer_healing/2026-W22/stabilizer_healing_2026-W22.zip	2026-05-25T20:48:32Z
stabilizer_healing	2026-W22	atoms	ready	artifacts/weekly_packages/stabilizer_healing/2026-W22/stabilizer_healing_2026-W22.zip	2026-05-25T20:48:32Z
stabilizer_healing	2026-W22	manga_panels	ready	artifacts/weekly_packages/stabilizer_healing/2026-W22/stabilizer_healing_2026-W22.zip	2026-05-25T20:48:32Z
stabilizer_healing	2026-W22	pearl_news	ready	artifacts/weekly_packages/stabilizer_healing/2026-W22/stabilizer_healing_2026-W22.zip	2026-05-25T20:48:32Z
stabilizer_healing	2026-W22	podcast	ready	artifacts/weekly_packages/stabilizer_healing/2026-W22/stabilizer_healing_2026-W22.zip	2026-05-25T20:48:32Z
