Discovered 456 arc files across 12 personas.
  [ 153/1000] book_0152 FAIL  3.0s  0w  first_responders/financial_anxiety/shame/F006
  [ 154/1000] book_0153 FAIL  4.0s  0w  millennial_women_professionals/anxiety/false_alarm/F006
  [ 155/1000] book_0156 FAIL  2.2s  0w  gen_alpha_students/overthinking/spiral/F006
  [ 156/1000] book_0154 FAIL  3.3s  0w  entrepreneurs/somatic_healing/watcher/F006
  [ 157/1000] book_0155 FAIL  3.6s  0w  entrepreneurs/boundaries/shame/F006
  [ 158/1000] book_0157 FAIL  2.2s  0w  healthcare_rns/social_anxiety/false_alarm/F006
  [ 159/1000] book_0160 FAIL  2.0s  0w  entrepreneurs/burnout/watcher/F006
  [ 160/1000] book_0158 FAIL  3.7s  0w  working_parents/anxiety/grief/F006
  [ 161/1000] book_0159 FAIL  3.4s  0w  corporate_managers/anxiety/overwhelm/F006
  [ 162/1000] book_0162 FAIL  1.2s  0w  working_parents/burnout/watcher/F006
  [ 163/1000] book_0161 FAIL  2.4s  0w  gen_z_professionals/financial_anxiety/shame/F006
  [ 164/1000] book_0163 FAIL  1.2s  0w  healthcare_rns/sleep_anxiety/overwhelm/F006
  [ 165/1000] book_0166 FAIL  1.1s  0w  working_parents/overthinking/watcher/F006
  [ 166/1000] book_0164 FAIL  2.2s  0w  corporate_managers/anxiety/watcher/F006
  [ 167/1000] book_0165 FAIL  2.0s  0w  working_parents/sleep_anxiety/spiral/F006
  [ 168/1000] book_0167 FAIL  2.2s  0w  gen_x_sandwich/boundaries/comparison/F006
  [ 169/1000] book_0168 FAIL  2.9s  0w  gen_x_sandwich/anxiety/watcher/F006
  [ 170/1000] book_0169 FAIL  3.3s  0w  corporate_managers/courage/spiral/F006
  [ 171/1000] book_0170 FAIL  3.4s  0w  first_responders/imposter_syndrome/shame/F006
  [ 172/1000] book_0171 FAIL  3.4s  0w  entrepreneurs/financial_anxiety/spiral/F006
  [ 173/1000] book_0172 FAIL  2.1s  0w  gen_x_sandwich/social_anxiety/false_alarm/F006
  [ 174/1000] book_0174 FAIL  1.5s  0w  first_responders/social_anxiety/false_alarm/F006
  [ 175/1000] book_0173 FAIL  5.3s  0w  entrepreneurs/courage/spiral/F006
  [ 176/1000] book_0176 FAIL  5.7s  0w  corporate_managers/grief/watcher/F006
  [ 177/1000] book_0177 FAIL  12.8s  0w  first_responders/financial_anxiety/shame/F006
  [ 178/1000] book_0175 FAIL  19.8s  10596w  gen_alpha_students/anxiety/overwhelm/F006
  [ 179/1000] book_0178 FAIL  16.8s  0w  gen_alpha_students/financial_stress/spiral/F006
  [ 180/1000] book_0179 FAIL  18.2s  0w  gen_z_professionals/self_worth/comparison/F006
  [ 181/1000] book_0180 FAIL  15.4s  0w  millennial_women_professionals/anxiety/grief/F006
  [ 182/1000] book_0181 FAIL  10.1s  0w  gen_x_sandwich/imposter_syndrome/shame/F006
  [ 183/1000] book_0182 FAIL  11.3s  0w  first_responders/anxiety/overwhelm/F006
  [ 184/1000] book_0183 FAIL  10.2s  0w  working_parents/boundaries/comparison/F006
  [ 185/1000] book_0184 FAIL  7.6s  0w  tech_finance_burnout/courage/spiral/F006
  [ 186/1000] book_0185 FAIL  7.4s  0w  gen_z_professionals/financial_anxiety/shame/F006
  [ 187/1000] book_0186 FAIL  9.6s  0w  entrepreneurs/anxiety/grief/F006
  [ 188/1000] book_0187 FAIL  8.9s  0w  gen_z_professionals/depression/overwhelm/F006
  [ 189/1000] book_0189 FAIL  6.6s  0w  gen_x_sandwich/burnout/overwhelm/F006
  [ 190/1000] book_0188 FAIL  8.3s  0w  working_parents/sleep_anxiety/spiral/F006
  [ 191/1000] book_0191 FAIL  3.0s  0w  tech_finance_burnout/social_anxiety/shame/F006
  [ 192/1000] book_0190 FAIL  4.9s  0w  corporate_managers/imposter_syndrome/shame/F006
  [ 193/1000] book_0192 FAIL  3.9s  0w  gen_z_professionals/compassion_fatigue/grief/F006
  [ 194/1000] book_0193 FAIL  3.1s  0w  working_parents/compassion_fatigue/grief/F006
  [ 195/1000] book_0194 FAIL  3.1s  0w  gen_z_professionals/imposter_syndrome/comparison/F006
  [ 196/1000] book_0195 FAIL  2.9s  0w  gen_z_professionals/sleep_anxiety/spiral/F006
  [ 197/1000] book_0197 FAIL  4.9s  0w  gen_x_sandwich/anxiety/spiral/F006
  [ 198/1000] book_0198 FAIL  5.0s  0w  gen_z_professionals/grief/grief/F006
  [ 199/1000] book_0199 FAIL  5.0s  0w  millennial_women_professionals/grief/watcher/F006
  [ 200/1000] book_0196 OK  7.6s  10799w  gen_alpha_students/anxiety/grief/F006
  [ 201/1000] book_0200 FAIL  6.6s  0w  working_parents/self_worth/comparison/F006
  [ 202/1000] book_0203 FAIL  7.5s  0w  healthcare_rns/financial_stress/spiral/F006
  [ 203/1000] book_0202 FAIL  8.2s  0w  working_parents/compassion_fatigue/grief/F006
