persona	topic	duration	engine	buildability	chapter_count	count_invariant_cohesion	repetition_severity	rep_score	cohesion_issues
entrepreneurs	depression	micro_book_20	grief	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	depression	short_book_30	grief	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	depression	standard_book	grief	PLANNABLE	20	PASS	MEDIUM	0.19	
entrepreneurs	financial_anxiety	deep_book_4h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	financial_anxiety	deep_book_6h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	financial_anxiety	extended_book_2h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	financial_anxiety	micro_book_15	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	financial_anxiety	micro_book_20	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	financial_anxiety	short_book_30	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	financial_anxiety	standard_book	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	financial_stress	deep_book_4h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	financial_stress	deep_book_6h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	financial_stress	extended_book_2h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	financial_stress	micro_book_15	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	financial_stress	micro_book_20	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	financial_stress	short_book_30	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	financial_stress	standard_book	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	grief	deep_book_4h	grief	PLANNABLE	20	PASS	MEDIUM	0.19	
entrepreneurs	grief	deep_book_6h	grief	PLANNABLE	20	PASS	MEDIUM	0.19	
entrepreneurs	grief	extended_book_2h	grief	PLANNABLE	20	PASS	MEDIUM	0.19	
entrepreneurs	grief	micro_book_15	grief	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	grief	micro_book_20	grief	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	grief	short_book_30	grief	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	grief	standard_book	grief	PLANNABLE	20	PASS	MEDIUM	0.19	
entrepreneurs	imposter_syndrome	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	imposter_syndrome	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	imposter_syndrome	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	imposter_syndrome	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	imposter_syndrome	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	imposter_syndrome	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	imposter_syndrome	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	overthinking	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	overthinking	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	overthinking	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	overthinking	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	overthinking	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
