book_id	topic	persona	teacher	format	wc	ontgp	bestseller_verdict	quality_summary_verdict	failure_mode
book_0052_depression_millennial_women_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0053_financial_anxiety_tech_finance_burnout			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0054_financial_stress_entrepreneurs			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0055_grief_working_parents			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0056_imposter_syndrome_gen_x_sandwich			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0057_overthinking_corporate_managers			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0058_self_worth_gen_z_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0059_sleep_anxiety_healthcare_rns	sleep_anxiety	healthcare_rns	ahjan	standard_book	13702	0.5479	PASS	FAIL	RENDERED
book_0060_social_anxiety_gen_alpha_students			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0061_somatic_healing_first_responders			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0062_anxiety_gen_z_student			default_teacher			—	MISSING	MISSING	UNCATEGORIZED
book_0063_compassion_fatigue_millennial_women_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0064_courage_tech_finance_burnout			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0065_depression_entrepreneurs			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0066_financial_anxiety_working_parents			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0067_financial_stress_gen_x_sandwich			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0068_grief_corporate_managers			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0069_imposter_syndrome_gen_z_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0070_overthinking_healthcare_rns			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0071_self_worth_gen_alpha_students			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0072_sleep_anxiety_first_responders			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0073_boundaries_millennial_women_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0074_burnout_tech_finance_burnout			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0075_compassion_fatigue_entrepreneurs			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0076_courage_working_parents			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0077_depression_gen_x_sandwich			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0078_financial_anxiety_corporate_managers			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0079_financial_stress_gen_z_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
